vent,classified,unclassified,total
/scratch/gi/coop/perner/metameta/vents/nakai_fryer_28,81544,192042,273586
nakai_fryer_28,81544,192042,273586
nakai_fryer_28,81544,192042,273586
TARA_085_DCM_-0.22_35,5653996,62253720,67907716
TARA_085_DCM_-0.22_35,5653996,62253720,67907716
TARA_085_DCM_-0.22_35,5653996,62253720,67907716
TARA_085_DCM_-0.22_35,5653996,62253720,67907716
TARA_122_DCM_0.1-0.22_38,816812,4384312,5201124
TARA_038_MES_0.1-0.22_36,27284628,119641230,146925858
TARA_048_SRF_0.1-0.22_37,17298225,154927681,172225906
TARA_023_SRF_0.22-1.6_40,55700307,88979997,144680304
TARA_023_DCM_0.22-1.6_41,52820420,90364010,143184430
TARA_038_MES_0.22-1.6_42,70865586,167264854,238130440
