vent	lat_lon
anantharaman_abe_1_1	20 45.6729 S,176 11.4345 W
anantharaman_abe_2_2	20 45.6729 S,176 11.4344 W
anantharaman_abe_background_3	22 45.6777 S,176 11.3696 W
anantharaman_kilo_moana_km1_4	20 3.2295 S,176 8.0154 W
anantharaman_kilo_moana_km4_1_5	20 3.2342 S,176 8.008 W
anantharaman_kilo_moana_km4_2_6	20 3.234 S,176 8.008 W
anantharaman_mariner_7	22 10.8183 S,176 36.0864 W
anantharaman_mariner_background_8	20 10.8035 S,176 36.0745 W
anantharaman_tahi_moana_9	20 40.894 S,176 10.9405 W
anantharaman_tahi_moana_background_10	20 40.928 S,176 11.00181 W
anantharaman_tui_malila_11	21 59.4012 S,176 34.1247 W
anderson_hulk_cellular_12	47.95 N,129.096 W
anderson_hulk_virome_13	47.95 N,129.096 W
axial_seamount_unpublished_anemone_14	45.9332 N,130.0136 W
axial_seamount_unpublished_dependable_15	45.8799 N,129.8029 W
axial_seamount_unpublished_elguapo_16	45.9266 N,129.9795 W
axial_seamount_unpublished_marker113_18	45.9437 N,129.9852 W
axial_seamount_unpublished_marker33_17	45.9332 N,129.9823 W
axial_seamount_unpublished_marshmallow_19	45.9337 N,130.0134 W
axial_seamount_unpublished_n3_20	45.9227 N,129.9881 W
cayman_rise_unpublished_beebe_21	18 32.785 N,81 43.080 W
cayman_rise_unpublished_beebe_background_22	18 32.785 N,81 43.080 W
cayman_rise_unpublished_von_damm_2041_23	18 22.605 N,81 47.875 W
cayman_rise_unpublished_von_damm_2238_24	18 22.605 N,81 47.875 W
lanzen_trollveggen_25	71 17.88 N,5 46.34 W
lesniewski_guaymas_basin_GD1_26	27 1.50 N,111 25.07 W
lesniewski_guaymas_basin_GD2_27	27 1.85 N,111 24.00 W
nakai_fryer_28	12 57.172 N,143 37.167 E
perner_sisters_peak_29	4 48.192 S,12 22.310 W
stokke_lokis_castle_30	73 33.97 N,8 9.51 E
tang_kueishantao_G1_31	24.3 N,121.95 E
tang_kueishantao_G2_32	24.3 N,121.95 E
xie_4143-1_33	47.9230 N,129.1090 W
