vent	project	classified(*10^3)	seq_length(*10^3)	avg_length	ocean	ocean_detail	platform	site	region	worldmap	depth	collection_year	temp	pH	spreading_rate	host_rock	O2 (μmolﾠ/kg)	H2	NH4+ (μmol/kg)	S2- (mg/L)	SiO2 (mmol/kg)	PO43- (μmol/L)	NO2- (μmol/L)	Ca2+ (mmol/kg)	Cl- (mmol/kg)  	Na+ (mmol/kg)	CH4	K+ (mmol/kg)	Fe2+ (mmol/kg)	CO2 (mmol/kg)	TA (μmol/L)	DOC (μmol/L)	tectonic_setting
anderson_hulk_cellular_12	Anderson	150-200	50-100	300-350	Pazifik	Pazifik, NO	454	Hulk	Juan de Fuca	ABCDEFGUV	2001-3000	2009	101-200		40-60	basalt																	mid-ocean ridge
anderson_hulk_virome_13	Anderson	0-50	0-50	300-350	Pazifik	Pazifik, NO	454	Hulk	Juan de Fuca	ABCDEFGUV	2001-3000	2009	101-200		40-60	basalt																	
lanzen_trollveggen_25	Lanzen	50-100	50-100	350-400	Arktik	Arktik	454	Trollveggen	Mohns Ridge	PH	101-1000	2008	201-300	4-6	0-20																		mid-ocean ridge
lesniewski_guaymas_basin_GD1_26	Lesniewski	100-150	50-100	300-350	Pazifik	Pazifik, O	454	GD1	Guaymas Basin	QR	1001-2000	2004	0-100		40-60	sediment	27.38																mid-ocean ridge
lesniewski_guaymas_basin_GD2_27	Lesniewski	150-200	50-100	300-350	Pazifik	Pazifik, O	454	GD2	Guaymas Basin	QR	1001-2000	2004	0-100		40-60	sediment	27.04																mid-ocean ridge
nakai_fryer_28	Nakai	0-50	0-50	150-200	Pazifik	Pazifik, W	454	Fryer	Mariana Trough	WT	2001-3000	2003	101-200		40-60																		back-arc 
perner_sisters_peak_29	Perner	50-100	50-100	300-350	Atlantik	Atlantik, S	454	Sisters Peak	Mid-Atlantic Rdidge	S	2001-3000	2009	401-500		20-40	basalt		1.6 mmol/L									1-2						mid-ocean ridge
stokke_lokis_castle_30	Stokke	200-250	150-200	300-350	Arktik	Arktik	454	Lokis Castle	Mid-Arctic Ridge	PH	2001-3000	2009	301-400	6-8	0-20	basalt		4.8 mmol/kg	401-600		15.1			48.7	477	395	12-13	34.8	0.02	26			mid-ocean ridge
tang_kueishantao_G1_31	Tang	100-150	0-50	350-400	Pazifik	Pazifik, W	454	Kueishantao	Guishan Island	WT	0-100	2010	0-100	4-6	40-60		0.049		0-200	0.11	98.65	1.44	0.06				0-1				842.25	62.1	back-arc 
tang_kueishantao_G2_32	Tang	150-200	0-50	300-350	Pazifik	Pazifik, W	454	Kueishantao	Guishan Island	WT	0-100	2010	0-100	4-6	40-60				0-200	0.01	22.36	0.02	0.13				0-1				1468.92	64.1	back-arc 
xie_4143-1_33	Xie	100-150	50-100	200-250	Pazifik	Pazifik, NO	454	4143-1	Juan de Fuca	ABCDEFGUV	2001-3000	2003	301-400	4-6	60-80																		
